Project Title,Application ID,Project Start Date,Project End Date,Funding Mechanism,Fiscal Year,Total Cost,Total Cost (Sub Projects),Funding IC(s),Direct Cost IC,InDirect Cost IC,Total Cost IC
MECHANISMS OF CELLULAR IMMORTALIZATION,2001286,4/1/1989 0:00,12/31/1999 0:00,Non-SBIR/STTR,1997,310857, ,NIA, , ,310857
CALORIE RESTRICTION AGING AND PROGRAMMED CELL DEATH,2001790,7/1/1997 0:00,6/30/2001 0:00,Non-SBIR/STTR,1997,195166, ,NIA, , ,195166
HORMONAL REGULATION OF BREAST CANCER,2007187,8/1/1978 0:00,1/31/2002 0:00,Non-SBIR/STTR,1997,511911, ,NCI, , ,511911
PEDIATRIC ONCOLOGY GROUP,2007226,1/1/1978 0:00,12/31/2000 0:00,Other Research-Related,1997,183458, ,NCI, , ,183458
SUPPRESSOR GENES AND BREAST CANCER,2007261,5/1/1979 0:00,11/30/1998 0:00,Non-SBIR/STTR,1997,230316, ,NCI, , ,230316
CHEMOPREVENTION OF SKIN CANCER PROGRAM PROJECT,2007289,7/22/1980 0:00,6/30/1998 0:00,Non-SBIR/STTR,1997,1912558, ,NCI, , ,1912558
QUANTITATIVE CARCINOGENESIS IN CULTURED EPITHELIAL CELLS,2007344,7/15/1981 0:00,5/31/2002 0:00,Non-SBIR/STTR,1997,242534, ,NCI, , ,242534
SLIT SCAN DETECTION OF BLADDER CANCER,2007382,8/1/1982 0:00,3/31/2000 0:00,Non-SBIR/STTR,1997,330731, ,NCI, , ,330731
PEDIATRIC ONCOLOGY GROUP,2007386,1/1/1983 0:00,12/31/2000 0:00,Other Research-Related,1997,94276, ,NCI, , ,94276
SOMATIC GENETIC ALTERATIONS IN GASTROINTESTINAL CANCER,2007476,9/30/1988 0:00,4/30/1998 0:00,Non-SBIR/STTR,1997,282622, ,NCI, , ,282622
VIRAL TRANSGENE-ONCOGENE INDUCED TUMORIGENESIS,2007478,12/20/1994 0:00,11/30/1997 0:00,Non-SBIR/STTR,1997,251004, ,NCI, , ,251004
ONCOGENE INDUCED LEUKEMOGENESIS IN TRANSGENIC MICE,2007604,4/1/1987 0:00,11/30/1999 0:00,Non-SBIR/STTR,1997,111094, ,NCI, , ,111094
GROWTH CONTROL AND CYTOGENETICS OF MALIGNANT GLIOMAS,2007607,1/1/1987 0:00,12/31/1998 0:00,Non-SBIR/STTR,1997,307201, ,NCI, , ,307201
CLAM LEUKEMIA--A MODEL FOR ENVIRONMENTAL CARCINOGENESIS,2007624,8/10/1987 0:00,3/31/2000 0:00,Non-SBIR/STTR,1997,177368, ,NCI, , ,177368
STATUS OF P53 IN A LFS CANCER PRONE FAMILY,2007645,9/1/1986 0:00,11/30/1998 0:00,Non-SBIR/STTR,1997,311431, ,NCI, , ,311431
MECHANISM OF LARGE T ANTIGEN INDUCED TUMORIGENESIS,2007678,3/1/1988 0:00,12/31/2001 0:00,Non-SBIR/STTR,1997,261502, ,NCI, , ,261502
MECHANISMS OF INDUCTION OF SKIN CANCERS BY UV LIGHT,2007685,7/1/1988 0:00,1/31/2001 0:00,Non-SBIR/STTR,1997,156990, ,NCI, , ,156990
MOLECULAR PATHOLOGY OF GLIOMAS,2007795,1/13/1995 0:00,11/30/1998 0:00,Non-SBIR/STTR,1997,361624, ,NCI, , ,361624
SELECTIVE RETINOIDS FOR BREAST CANCER THERAPY,2007827,5/1/1991 0:00,6/30/2000 0:00,Non-SBIR/STTR,1997,1503245, ,NCI, , ,1503245
GENETIC EPIDEMIOLOGY OF MALIGNANT GLIOMA,2007855,5/15/1991 0:00,4/30/2001 0:00,Non-SBIR/STTR,1997,903317, ,NCI, , ,903317
FUNCTION OF THE ADENOVIRUS E1B ONCOGENE,2007885,1/1/1991 0:00,12/31/2000 0:00,Non-SBIR/STTR,1997,322229, ,NCI, , ,322229
FLURODEOXYURIDINE MEDIATED RADIOSENSITIZATION,2007889,12/7/1990 0:00,11/30/1998 0:00,Non-SBIR/STTR,1997,210811, ,NCI, , ,210811
HEPATITIS B VIRUS AND HEPATOCELLULAR CARCINOMA,2007934,3/15/1991 0:00,3/31/2000 0:00,Non-SBIR/STTR,1997,225703, ,NCI, , ,225703
BIOCHEMICAL AND CYTOGENETIC MARKERS IN RETINOBLASTOMA,2007938,4/1/1991 0:00,3/31/2001 0:00,Non-SBIR/STTR,1997,155856, ,NCI, , ,155856
SUNLIGHT RELATED STEPS IN HUMAN SKIN CANCER,2007998,4/1/1992 0:00,11/30/1998 0:00,Non-SBIR/STTR,1997,188484, ,NCI, , ,188484
PROGRESSION OF T CELL LYMPHOMA LINESTO IL2 INDEPENDENCE,2008018,7/1/1992 0:00,1/31/2002 0:00,Non-SBIR/STTR,1997,340269, ,NCI, , ,340269
REGULATION OF MULTIDRUG RESISTANCE GENE EXPRESSION,2008150,1/1/1993 0:00,12/31/1998 0:00,Non-SBIR/STTR,1997,120056, ,NCI, , ,120056
UV INDUCIBLE INHIBITION IN MELANOMA,2008258,5/5/1993 0:00,1/31/2001 0:00,Non-SBIR/STTR,1997,306834, ,NCI, , ,306834
